id,created_date,name,description,points_cost,units_available,status,image_url,original_stock,original_sizes,updated_at
1780007137006_lrafs6,2026-06-09 19:36:46.364866+00,Tshirts Chess King,Talla M,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007132492_6nwgke.png,0,,2026-06-10 08:44:02.000889+00
1780007147783_h9st4z,2026-06-09 19:36:46.364866+00,Tshirts Chess King,Talla L (Blanco y negro),100,2,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007143477_xzg2e3.png,0,,2026-06-10 08:44:02.000889+00
1780007157722_8nifiy,2026-06-09 19:36:46.364866+00,Tshirts Chess King,Talla M,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007154066_drweik.png,0,,2026-06-10 08:44:02.000889+00
1780007216944_jzlw30,2026-06-09 19:36:46.364866+00,Tshirts - Manga Larga Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007202843_kadkk6.png,0,,2026-06-10 08:44:02.000889+00
1780007265186_xbfy4f,2026-06-09 19:36:46.364866+00,Hoodie Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007225709_elrfoq.png,0,,2026-06-10 08:44:02.000889+00
1780007293632_umcngw,2026-06-09 19:36:46.364866+00,Tshirts - Munga Larga Chess King,Tallas M Blanco (2) negro (1),600,3,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780954897549_84x7rz.png,0,,2026-06-10 08:44:02.000889+00
1780007343062_ki3r3l,2026-06-09 19:36:46.364866+00,Tshirts - Manga Corta Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007316206_e5ar70.png,0,,2026-06-10 08:44:02.000889+00
1780007355109_4hdsmk,2026-06-09 19:36:46.364866+00,Tshirts - Manga Corta Chess King,"Tallas M ",400,2,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007348870_ubzwx9.png,0,,2026-06-10 08:44:02.000889+00
1780007436804_2r2kop,2026-06-09 19:36:46.364866+00,Box - Anyuri By Chess King - Edicion Limitada,"Kit sin muñeca, solo T-shirt y gorra. ",800,3,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780007362998_x60t69.png,0,,2026-06-10 08:44:02.000889+00
1780954915773_1oq12b,2026-06-09 19:36:46.364866+00,Tshirt-Manga Corta Chees King,,400,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780954921993_8ut8p8.png,0,,2026-06-10 08:44:02.000889+00
1780955056299_d1oc73,2026-06-09 19:36:46.364866+00,T-shirt Chees King,"Unicos modelos, los print varian
Talla M",500,20,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955063674_qua7yx.png,0,,2026-06-10 08:44:02.000889+00
1780955186081_ux48ii,2026-06-09 19:36:46.364866+00,Tshirt Chees King,Talla m,500,2,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955106572_abk7cg.png,0,,2026-06-10 08:44:02.000889+00
1780955233160_83g5i2,2026-06-09 19:36:46.364866+00,Tshirt Chees King,Talla L,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955205015_i0igxo.png,0,,2026-06-10 08:44:02.000889+00
1780955658332_4oef6g,2026-06-09 19:36:46.364866+00,Pantalones hype - Chees King,"Talla 36 (2 unidades)
Talla 34 (1 unidad)
Talla 38 (1 Unidad)
Talla 40 ( 1undiad)",750,4,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955566534_gzrfks.png,0,,2026-06-10 08:44:02.000889+00
1780955723202_gtnnol,2026-06-09 19:36:46.364866+00,Pantalon Bermuda - Chees king,Talla 32,600,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955706928_po0knd.png,0,,2026-06-10 08:44:02.000889+00
1780955746210_sgyvu0,2026-06-09 19:36:46.364866+00,Pantalon bermuda - Chees king,Talla 36,600,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955762884_crpqzg.png,0,,2026-06-10 08:44:02.000889+00
1780955843016_90yt68,2026-06-09 19:36:46.364866+00,Gorros bucket Chees King,,500,26,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955840852_wlhy7c.png,0,,2026-06-10 08:44:02.000889+00
1780955877160_vbzbwj,2026-06-09 19:36:46.364866+00,Gorros bucket Chees King,,500,6,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955859081_mpfmwr.png,0,,2026-06-10 08:44:02.000889+00
1780955923648_yqgvfs,2026-06-09 19:36:46.364866+00,Gorros bucket Chees King,,500,2,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780955908755_qiczx5.png,0,,2026-06-10 08:44:02.000889+00
1780956767850_qx7etg,2026-06-09 19:36:46.364866+00,Tshirt Chees King,"Talla M   (Unidades 4)
Talla L    (Unidades 1)
Talla XL  (Unidades 1)",500,6,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780956779640_3juq90.png,0,,2026-06-10 08:44:02.000889+00
1780956884091_qr67kl,2026-06-09 19:36:46.364866+00,Tshirt Chees king,"Talla M.  (Unidades 2)
Talla L     (Unidades 1) 
Talla XL. (Unidades 1)",500,4,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780956815746_yomego.png,0,,2026-06-10 08:44:02.000889+00
1780957022575_u3dklo,2026-06-09 19:36:46.364866+00,Tshirt Chees King,"Talla S.    (Unidades 4)
Talla M    (Unidades 5)
Talla L     (Unidades 1)
Talla XL. (Unidades 1)",500,11,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780956898972_kxhxqz.png,0,,2026-06-10 08:44:02.000889+00
1780957146822_a6a0or,2026-06-09 19:36:46.364866+00,"Tshirt Chees King ","Talla S    (Unidades 3)
Talla M.  (Unidades 7)
Talla L.   (Unidades 6)
Tallla XL.(Unidades 1)",500,17,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780957037780_fms6an.png,0,,2026-06-10 08:44:02.000889+00
1780957836344_8wyjoz,2026-06-09 19:36:46.364866+00,Tshirt Bascias Chees King,"Talla S (Unidades 2)
Talla M (Unidades 3)
Talla L  (Unidades 2)",500,7,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780957703699_xf0hes.png,0,,2026-06-10 08:44:02.000889+00
1780957965303_62clbo,2026-06-09 19:36:46.364866+00,Tshirt Basicas Talla S Chees King,"Talla S.  ",500,6,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780957859123_thwqbm.png,0,,2026-06-10 08:44:02.000889+00
